일자,평균
2020년 1월 31일,105718
2020년 1월 3일,78729
2020년 1월 4일,74331
2020년 1월 5일,63741
2020년 1월 6일,72105
2020년 1월 7일,69649
2020년 1월 8일,73425
2020년 1월 9일,103705
2020년 2월 10일,76666
2020년 2월 11일,76022
2020년 2월 12일,97761
2020년 2월 13일,100032
2020년 2월 14일,107366
2020년 2월 15일,101602
2020년 2월 16일,56581
2020년 2월 17일,73438
2020년 2월 18일,76306
2020년 2월 19일,102864
2020년 2월 1일,97378
2020년 2월 20일,102265
2020년 2월 21일,102980
2020년 2월 22일,91194
2020년 2월 23일,48283
2020년 2월 24일,60089
2020년 2월 25일,38528
2020년 2월 26일,70736
2020년 2월 27일,91770
2020년 2월 28일,92908
2020년 2월 29일,84127
2020년 2월 2일,59879
2020년 2월 3일,75216
2020년 2월 4일,77005
2020년 2월 5일,103469
2020년 2월 6일,101159
2020년 2월 7일,105721
2020년 2월 8일,100274
2020년 2월 9일,61668
2020년 3월 10일,63733
2020년 3월 11일,71959
2020년 3월 12일,94514
2020년 3월 13일,98283
2020년 3월 14일,91779
