,PM2.5,PM10,교통량합계,평균기온,일강수량,평균풍속,TPM2.5,TPM10,BPM2.5,BPM10,JPM2.5,JPM10
182,10.0,47.0,106125.0,0.9,0.0,1.6,26,51,26,52,55,132
183,13.0,43.0,111249.0,-0.3,0.0,1.2,73,103,73,106,84,166
184,19.0,57.0,106055.0,2.3,0.0,0.5,185,223,152,220,99,174
185,31.0,68.0,91653.0,6.6,0.0,0.8,128,134,48,77,125,200
186,28.0,66.0,104310.0,2.9,0.0,1.9,13,29,6,22,24,64
187,12.0,43.0,104364.0,-2.5,0.0,1.5,59,94,25,51,45,100
188,24.0,50.0,99014.0,1.8,0.5,0.8,60,99,23,52,95,149
189,26.0,60.0,103408.0,3.8,2.5,1.4,22,40,9,28,95,175
190,15.0,49.0,107569.0,-1.1,0.0,1.5,32,67,23,48,27,80
191,17.0,54.0,102343.0,1.1,0.0,0.6,103,160,34,63,55,126
192,25.0,57.0,86153.0,3.7,1.5,1.4,20,59,7,46,83,156
193,10.0,53.0,102537.0,-3.4,0.0,2.3,13,32,6,21,38,122
194,15.0,52.0,103945.0,-5.7,0.0,1.6,18,37,14,27,38,92
195,17.0,50.0,102143.0,-5.3,0.0,1.0,50,86,32,50,94,189
196,35.0,73.0,104479.0,-4.5,0.0,0.6,60,74,74,87,126,176
197,41.0,77.0,106992.0,-1.2,0.0,0.6,60,71,33,55,135,183
198,26.0,52.0,104789.0,-1.7,0.0,2.0,11,55,8,39,59,111
199,17.0,52.0,89767.0,-4.4,0.0,1.0,46,84,28,52,31,81
200,26.0,61.0,102316.0,1.3,0.0,1.3,33,68,12,47,56,118
201,20.0,60.0,100807.0,-1.5,0.0,1.5,28,55,37,72,42,101
202,21.0,45.0,101415.0,-1.2,0.5,0.7,43,73,20,43,64,130
203,27.0,45.0,100904.0,-0.1,0.0,0.5,74,111,53,77,40,102
204,34.0,53.0,107729.0,1.9,0.0,0.6,82,118,36,61,88,150
205,55.0,90.0,103251.0,4.9,0.0,0.4,77,117,32,57,135,220
206,41.0,56.0,83058.0,4.0,19.0,1.2,34,79,13,49,70,153
207,16.0,46.0,86678.0,0.4,0.0,2.0,27,49,31,50,41,112
208,15.0,37.0,101472.0,-0.6,0.0,2.0,27,52,25,44,85,198
209,13.0,36.0,104460.0,-3.9,0.0,1.3,68,96,76,89,94,189
210,29.0,54.0,103699.0,-1.2,0.0,0.7,134,187,109,110,148,248
211,52.0,77.0,106780.0,3.3,0.0,0.8,189,218,175,168,269,378
212,75.0,115.0,98822.0,3.7,0.5,0.6,192,214,111,118,230,410
213,28.0,80.0,87094.0,2.0,0.5,1.6,175,207,32,67,105,192
214,25.0,57.0,78183.0,-0.6,0.0,0.6,76,97,34,63,126,247
215,36.0,75.0,99018.0,-0.3,0.0,0.7,42,55,28,50,145,244
216,16.0,45.0,101731.0,-1.7,0.0,1.2,14,28,11,28,35,70
217,26.0,60.0,99633.0,-2.3,0.0,0.9,25,49,15,30,41,81
218,36.0,68.0,105702.0,-0.4,0.0,1.0,78,113,32,54,59,104
219,28.0,51.0,100236.0,-0.5,0.0,0.7,68,93,16,30,84,153
220,42.0,69.0,81532.0,-0.8,0.0,0.5,112,130,38,57,120,154
221,47.0,63.0,96894.0,1.6,1.5,1.1,15,68,12,60,58,127
222,19.0,35.0,92734.0,-1.3,1.0,2.1,20,62,7,35,27,96
223,15.0,31.0,86559.0,-4.5,0.5,1.7,9,28,6,21,20,61
224,17.0,32.0,90831.0,-8.3,0.0,1.4,13,30,13,25,17,51
225,18.0,37.0,101811.0,-8.0,0.0,1.1,65,103,61,81,41,85
226,32.0,47.0,98728.0,-1.5,0.0,0.8,105,127,106,122,59,106
227,44.0,62.0,82856.0,0.7,0.0,0.5,120,148,133,137,72,128
228,45.0,62.0,101341.0,5.4,0.0,1.0,57,82,32,58,131,212
229,55.0,76.0,97899.0,4.0,3.5,0.5,41,105,45,177,154,257
230,30.0,39.0,99054.0,4.2,11.0,0.8,70,138,42,104,204,285
231,69.0,135.0,100760.0,4.3,0.0,1.1,78,123,63,105,199,312
232,44.0,100.0,106502.0,0.5,0.0,0.6,143,197,81,122,214,292
233,41.0,89.0,101684.0,0.8,0.0,0.6,82,114,31,75,174,247
234,65.0,137.0,84715.0,1.5,0.0,0.5,25,57,37,77,205,298
235,43.0,92.0,97929.0,3.4,1.0,1.4,41,51,22,47,67,101
236,17.0,46.0,99154.0,-6.6,0.0,2.6,17,36,11,32,36,66
237,11.0,46.0,98668.0,-11.1,0.0,2.4,41,58,17,33,39,79
238,14.0,42.0,99998.0,-10.3,0.0,1.6,42,61,9,23,50,91
239,17.0,44.0,103566.0,-10.8,0.0,1.8,57,65,29,41,46,81
240,36.0,76.0,98567.0,-8.0,0.0,0.8,69,70,84,95,92,147
241,23.0,53.0,81942.0,-3.0,0.0,1.6,31,65,11,67,78,100
242,18.0,61.0,101193.0,-6.0,0.0,1.7,23,86,8,61,112,155
243,18.0,61.0,99820.0,-4.4,0.0,1.0,55,80,11,36,83,130
244,21.0,62.0,48391.0,0.1,0.0,1.1,20,79,22,74,84,140
245,26.0,66.0,101625.0,-1.6,0.0,1.0,51,109,30,85,65,136
246,33.0,71.0,92212.5,-2.7,0.0,0.7,11,44,8,30,28,90
